type,year,state,abb,region,division,barley,corn,cotton_els,cotton_upland,oats,rice,sorghum,soybeans,sugar_beets,sugarcane,wheat
plant and fail,2009,Ohio,OH,North Central,East North Central,3248.6,3292017.9999999967,,,25168.689999999995,,723.21,4486403.469999999,,,932061.52
plant and fail,2009,Oklahoma,OK,South,West South Central,12843.409999999998,368197.56000000006,,196714.83000000005,24435.510000000013,,239847.2599999999,397556.98000000004,,,5787729.71
plant and fail,2009,Oregon,OR,West,Pacific,30995.89,75130.14,,,29585.98,,190.79999999999998,360.0,13288.849999999999,,848488.04
plant and fail,2009,Pennsylvania,PA,Northeast,Middle Atlantic,38039.17000000002,895594.5799999996,,,55237.85000000001,,1992.56,390838.9200000001,,,134982.98
plant and fail,2009,Rhode Island,RI,Northeast,New England,,1368.1800000000003,,,3.0,,,,,,114.7
plant and fail,2009,South Carolina,SC,South,South Atlantic,1161.3,296013.3199999999,,111368.19,18414.050000000003,35.0,7230.179999999999,559120.1899999998,,0.5,157563.12
plant and fail,2009,South Dakota,SD,North Central,West North Central,43900.25,4868331.170000002,,,188811.9,,111724.55999999998,4167644.9900000016,183.24,,3120581.7700000023
plant and fail,2009,Tennessee,TN,South,East South Central,1949.82,623948.21,,290637.14,2718.5500000000006,877.4,8638.249999999998,1510304.93,,1.0,354708.87000000005
plant and fail,2009,Texas,TX,South,West South Central,7805.5,2254042.040000001,17743.9,4931499.209999998,333545.0,170145.69,2584095.1600000006,206571.0000000001,0.1,39278.3,6225120.240000002
plant and fail,2009,Utah,UT,West,Mountain,26528.800000000007,47895.08,,,25432.41,,1037.0799999999997,50.1,,,143124.61000000004
plant and fail,2009,Virginia,VA,South,South Atlantic,49526.13,380528.84000000014,,63789.40000000001,6488.380000000004,,3730.2999999999993,565354.17,,0.5,221956.70999999996
plant and fail,2009,Vermont,VT,Northeast,New England,372.41999999999996,82611.52999999998,,,540.1500000000001,,43.2,4608.26,,,450.12000000000006
plant and fail,2009,Washington,WA,West,Pacific,87920.55000000006,205956.73000000004,,,9020.399999999996,,72.6,739.8000000000001,2323.3,,2246295.9
plant and fail,2009,Wisconsin,WI,North Central,East North Central,38259.61,3730232.320000001,,,269661.63,9.0,2211.9100000000003,1615194.1700000009,2.34,,346937.41
plant and fail,2009,West Virginia,WV,South,South Atlantic,2100.6099999999997,41782.85,,,1573.6200000000001,,218.99,19423.03,,,6766.199999999999
plant and fail,2009,Wyoming,WY,West,Mountain,68368.52,77474.22000000002,,,28131.100000000002,,91.00000000000001,75.4,31696.329999999998,,155742.53000000003
prevent,2009,Alaska,AK,West,Pacific,4628.12,,,,989.8900000000001,,,,,,86.27
prevent,2009,Alabama,AL,South,East South Central,49.9,233734.30000000002,,251648.34999999998,17908.519999999997,,6610.0599999999995,412508.55,,2.9,160572.52000000002
prevent,2009,Arkansas,AR,South,West South Central,,422820.97,,520471.12000000005,5138.9,1481063.7999999998,37318.73,3414793.3800000004,,,411674.76999999996
prevent,2009,Arizona,AZ,West,Mountain,41428.2,45978.99999999999,1622.6,140509.4,8696.199999999999,,26825.36,1.0,,,110972.0
prevent,2009,California,CA,West,Pacific,78949.15999999999,482984.38,116820.95,69393.28,237245.88,539250.27,37135.30999999999,174.09,17141.589999999997,668.0,766512.3699999999
prevent,2009,Colorado,CO,West,Mountain,66751.29,1065002.42,,4.0,42261.18,,104241.83,13112.739999999998,35360.19,,2526919.6799999997
prevent,2009,Connecticut,CT,Northeast,New England,5.5,26234.730000000003,,,62.67,,14.56,87.60000000000001,,,17.9
prevent,2009,Delaware,DE,South,South Atlantic,25300.84,166285.53000000003,,,487.9,,832.7,174336.97,,,62663.09999999999
prevent,2009,Florida,FL,South,South Atlantic,,59201.44000000002,,80867.75,12540.480000000003,9019.5,3899.92,36253.58,,217990.47,15527.93
prevent,2009,Georgia,GA,South,South Atlantic,488.1,410016.55,,989675.1399999998,42841.22,,45065.65999999998,451473.44000000006,,14.7,295630.5899999999
prevent,2009,Hawaii,HI,West,Pacific,,169.0,,,,,,,,42387.270000000004,
prevent,2009,Iowa,IA,North Central,West North Central,5446.4,13266779.350000003,,,194114.84999999998,,1655.3200000000004,9481676.549999997,1.5,,25707.879999999997
prevent,2009,Idaho,ID,West,Mountain,495617.73999999993,285014.21,,,56043.88000000001,,1121.47,10.8,172687.20000000004,,1277925.7000000004
prevent,2009,Illinois,IL,North Central,East North Central,417.49,11726684.119999995,,,25652.010000000002,988.63,28689.390000000003,9287366.480000002,,,814669.1900000004
prevent,2009,Indiana,IN,North Central,East North Central,1202.9900000000002,5500239.69,,,6087.97,,8969.139999999998,5414854.099999999,,,449358.28000000014
prevent,2009,Kansas,KS,North Central,West North Central,11685.190000000002,4019701.7700000005,,36443.24,73704.01,73.98,2358079.970000002,3666158.709999999,,,9138134.85
prevent,2009,Kentucky,KY,South,East South Central,6715.15,1163723.8099999994,,,1688.1699999999996,82.0,3778.53,1405614.1099999992,,12.4,426878.42000000033
prevent,2009,Louisiana,LA,South,West South Central,,623684.6800000002,,222998.65999999997,3492.8899999999994,466241.88999999996,67793.31,1008741.5400000003,,424972.3799999999,178503.89
prevent,2009,Massachusetts,MA,Northeast,New England,9.8,19300.989999999998,,,234.88,,57.849999999999994,434.97,,,6.44
prevent,2009,Maryland,MD,South,South Atlantic,46826.72,426549.8299999999,,1.0,3081.9199999999996,,5806.3,474412.7799999999,,,189136.07999999996
prevent,2009,Maine,ME,Northeast,New England,13826.3,27735.190000000006,,,31692.449999999997,,12.7,1508.83,,,1418.1
prevent,2009,Michigan,MI,North Central,East North Central,8640.95,2293456.9100000006,,,47048.749999999985,,1119.37,1958018.9899999995,139614.91999999998,,592142.9599999997
prevent,2009,Minnesota,MN,North Central,West North Central,80198.65999999996,7623028.89,,,186764.54,,1364.5700000000002,7122249.330000002,465030.88000000006,,1595887.6999999997
prevent,2009,Missouri,MO,North Central,West North Central,2148.8500000000004,2904136.34,,271336.47,9810.799999999994,199201.28000000003,40739.229999999996,5292037.960000002,,,717863.4800000003
prevent,2009,Mississippi,MS,South,East South Central,,698759.1799999997,,298085.8,1143.5900000000001,239537.26,8687.119999999999,2144428.429999999,,,155568.33999999997
prevent,2009,Montana,MT,West,Mountain,819897.81,66200.64,,,60809.09999999996,,178.10000000000002,1422.1999999999998,40245.43000000001,,5291578.509999999
prevent,2009,North Carolina,NC,South,South Atlantic,21228.21000000001,843278.9900000002,,370409.5299999999,22351.73000000001,,15112.469999999998,1777082.960000001,1.95,158.9,614947.2300000001
prevent,2009,North Dakota,ND,North Central,West North Central,1115774.0899999994,1893110.6700000004,,,300958.9799999999,,2692.6499999999996,3850988.0200000005,225038.15000000002,,8486504.849999998
prevent,2009,Nebraska,NE,North Central,West North Central,4746.45,9134828.07,,6.8,89530.74999999996,,133863.56000000006,4755782.120000001,53515.47,,1680446.65
prevent,2009,New Hampshire,NH,Northeast,New England,4.24,14034.28,,,52.029999999999994,,32.1,0.01,,,3.38
prevent,2009,New Jersey,NJ,Northeast,Middle Atlantic,2716.0000000000005,74356.56000000003,,,1505.2,,609.3,85908.10999999999,15.2,,28078.800000000003
prevent,2009,New Mexico,NM,West,Mountain,8760.42,122922.53000000001,2758.0,33740.509999999995,12100.439999999999,,66663.48,91.3,,,446332.5200000001
prevent,2009,Nevada,NV,West,Mountain,1348.8399999999997,2189.1,,,2122.99,,208.4,,,,12422.770000000002
prevent,2009,New York,NY,Northeast,Middle Atlantic,7583.07,958097.1099999993,,,60780.65000000001,,376.70000000000005,249870.36999999997,,,94032.18
prevent,2009,Ohio,OH,North Central,East North Central,3248.6,3292017.9999999967,,,25168.689999999995,,723.21,4486403.469999999,,,932061.52
prevent,2009,Oklahoma,OK,South,West South Central,12843.409999999998,368197.56000000006,,196714.83000000005,24435.510000000013,,239847.2599999999,397556.98000000004,,,5787729.71
prevent,2009,Oregon,OR,West,Pacific,30995.89,75130.14,,,29585.98,,190.79999999999998,360.0,13288.849999999999,,848488.04
prevent,2009,Pennsylvania,PA,Northeast,Middle Atlantic,38039.17000000002,895594.5799999996,,,55237.85000000001,,1992.56,390838.9200000001,,,134982.98
prevent,2009,Rhode Island,RI,Northeast,New England,,1368.1800000000003,,,3.0,,,,,,114.7
prevent,2009,South Carolina,SC,South,South Atlantic,1161.3,296013.3199999999,,111368.19,18414.050000000003,35.0,7230.179999999999,559120.1899999998,,0.5,157563.12
prevent,2009,South Dakota,SD,North Central,West North Central,43900.25,4868331.170000002,,,188811.9,,111724.55999999998,4167644.9900000016,183.24,,3120581.7700000023
prevent,2009,Tennessee,TN,South,East South Central,1949.82,623948.21,,290637.14,2718.5500000000006,877.4,8638.249999999998,1510304.93,,1.0,354708.87000000005
prevent,2009,Texas,TX,South,West South Central,7805.5,2254042.040000001,17743.9,4931499.209999998,333545.0,170145.69,2584095.1600000006,206571.0000000001,0.1,39278.3,6225120.240000002
prevent,2009,Utah,UT,West,Mountain,26528.800000000007,47895.08,,,25432.41,,1037.0799999999997,50.1,,,143124.61000000004
prevent,2009,Virginia,VA,South,South Atlantic,49526.13,380528.84000000014,,63789.40000000001,6488.380000000004,,3730.2999999999993,565354.17,,0.5,221956.70999999996
prevent,2009,Vermont,VT,Northeast,New England,372.41999999999996,82611.52999999998,,,540.1500000000001,,43.2,4608.26,,,450.12000000000006
prevent,2009,Washington,WA,West,Pacific,87920.55000000006,205956.73000000004,,,9020.399999999996,,72.6,739.8000000000001,2323.3,,2246295.9
prevent,2009,Wisconsin,WI,North Central,East North Central,38259.61,3730232.320000001,,,269661.63,9.0,2211.9100000000003,1615194.1700000009,2.34,,346937.41
prevent,2009,West Virginia,WV,South,South Atlantic,2100.6099999999997,41782.85,,,1573.6200000000001,,218.99,19423.03,,,6766.199999999999
prevent,2009,Wyoming,WY,West,Mountain,68368.52,77474.22000000002,,,28131.100000000002,,91.00000000000001,75.4,31696.329999999998,,155742.53000000003
plant and fail,2010,Alaska,AK,West,Pacific,4156.74,,,,1369.8999999999999,,,,,,103.45
plant and fail,2010,Alabama,AL,South,East South Central,43.099999999999994,221371.67999999993,,338581.7299999999,15151.100000000002,,4136.010000000001,329878.5900000001,,3.7,73067.29999999999
plant and fail,2010,Arkansas,AR,South,West South Central,,382830.4999999999,,541661.7499999999,6548.5599999999995,1787342.8800000008,36988.58,3172346.53,,,178803.28000000006
plant and fail,2010,Arizona,AZ,West,Mountain,41202.08000000001,39682.340000000004,2129.75,191970.58,12820.03,,22202.92,28.7,,,65325.01
plant and fail,2010,California,CA,West,Pacific,92151.27,491258.5800000001,180402.5,122609.80000000002,193146.19999999992,539432.04,34239.200000000004,57.7,23921.0,563.9499999999999,727670.0099999999
plant and fail,2010,Colorado,CO,West,Mountain,53555.369999999995,1279852.15,,,39573.90999999999,,132745.44,13761.93,29909.39,,2260257.5500000007
plant and fail,2010,Connecticut,CT,Northeast,New England,3.4,26596.8,,,45.18,,27.63,24.0,,,40.400000000000006
plant and fail,2010,Delaware,DE,South,South Atlantic,18534.8,178299.01,,,379.2,,848.0999999999999,163726.93,,,33823.57
plant and fail,2010,Florida,FL,South,South Atlantic,264.8,48889.94000000001,,91155.83,11529.450000000003,760.4,3506.929999999999,23098.85,,251090.46000000002,8410.4
plant and fail,2010,Georgia,GA,South,South Atlantic,245.5,291322.47000000003,,1317175.4099999997,31331.21999999999,,34290.37,260135.03,,14.1,131106.63000000003
plant and fail,2010,Hawaii,HI,West,Pacific,,227.82999999999998,,,,,,,,35925.0,
plant and fail,2010,Iowa,IA,North Central,West North Central,4170.700000000001,13073863.85999998,,,167187.66999999993,,1062.51,9693944.559999995,,,14713.67000000001
plant and fail,2010,Idaho,ID,West,Mountain,456739.04,303111.78,,,43664.66000000002,,1074.6,272.20000000000005,181661.30999999997,,1336888.3400000017
plant and fail,2010,Illinois,IL,North Central,East North Central,585.9,12356436.319999997,,,33378.99999999999,1186.9099999999999,31357.100000000002,8913464.879999999,,,288048.26
plant and fail,2010,Indiana,IN,North Central,East North Central,650.6699999999998,5755613.779999996,,,5705.02,,10860.010000000004,5314371.8199999975,,,236264.9699999999
plant and fail,2010,Kansas,KS,North Central,West North Central,8278.890000000001,4745640.569999999,,48885.24,53265.799999999974,,2086026.9099999992,4274519.64,,,8115322.61
plant and fail,2010,Kentucky,KY,South,East South Central,5090.640000000001,1303455.1699999997,0.05,161.55,1901.6500000000003,150.7,6240.4900000000025,1368154.1300000004,,1.5,280760.2700000001
plant and fail,2010,Louisiana,LA,South,West South Central,,498192.0600000001,,247484.12,2399.4,534184.34,77642.95,1016870.0800000001,25.0,421442.1499999999,113792.79000000002
plant and fail,2010,Massachusetts,MA,Northeast,New England,3.9,18703.790000000005,,,329.96,,,397.51,,,19.1
plant and fail,2010,Maryland,MD,South,South Atlantic,33972.68000000001,451483.27999999985,,1.0,2936.689999999999,,8934.680000000002,455468.9599999999,,,124660.97000000002
plant and fail,2010,Maine,ME,Northeast,New England,13751.250000000002,27717.710000000003,,,29796.02,,12.6,991.1,,,1535.9
plant and fail,2010,Michigan,MI,North Central,East North Central,8475.810000000001,2274073.3099999977,,,51900.530000000006,,1052.5200000000002,1980317.1599999997,148028.13000000006,,485331.03999999986
plant and fail,2010,Minnesota,MN,North Central,West North Central,69535.65999999999,7637580.149999997,,,196304.5099999999,,1023.2,7324426.18,449202.74999999994,,1570488.1500000004
plant and fail,2010,Missouri,MO,North Central,West North Central,1470.4499999999998,3059872.42,,309750.02999999997,8757.939999999997,252140.36,30365.64,5110871.359999999,,,321591.84999999986
plant and fail,2010,Mississippi,MS,South,East South Central,,714013.9600000002,,409485.19,1452.7999999999997,302245.44,7999.749999999998,1978951.8599999999,,,103881.45000000001
plant and fail,2010,Montana,MT,West,Mountain,711099.4800000001,72969.27999999998,,,53067.57000000002,,108.1,2199.7999999999997,43862.479999999996,,5157212.120000007
plant and fail,2010,North Carolina,NC,South,South Atlantic,16867.569999999996,877976.2099999996,,541169.6799999999,15028.189999999995,,13261.880000000003,1566501.6400000004,0.71,3.0,399159.74
plant and fail,2010,North Dakota,ND,North Central,West North Central,646745.6699999999,1991994.1799999995,,,243924.31000000008,,2157.6000000000004,4049112.4600000004,216220.50000000003,,8242441.46
plant and fail,2010,Nebraska,NE,North Central,West North Central,3478.25,9109780.64,,0.4,77856.61,,69628.26999999996,5106003.879999999,50735.670000000006,,1562046.0199999998
plant and fail,2010,New Hampshire,NH,Northeast,New England,6.220000000000001,13946.840000000004,,,33.07,,37.95,20.5,,,1.5
plant and fail,2010,New Jersey,NJ,Northeast,Middle Atlantic,2007.8999999999999,75990.61000000002,,,1041.1,,940.0,91752.32,23.9,,20047.899999999998
plant and fail,2010,New Mexico,NM,West,Mountain,8132.75,134019.47,2608.33,50300.65,12603.770000000002,,68238.80999999998,0.0,,,448271.99000000005
plant and fail,2010,Nevada,NV,West,Mountain,464.44000000000005,2193.3,,,1613.15,,302.5,,,,11126.819999999998
plant and fail,2010,New York,NY,Northeast,Middle Atlantic,8380.559999999996,948865.6199999998,,,58068.39999999998,,222.58,269311.6500000001,2.0,,86165.1
plant and fail,2010,Ohio,OH,North Central,East North Central,2685.0500000000006,3375155.060000001,,,24169.889999999996,,764.5300000000002,4557893.449999998,,,679051.0099999997
plant and fail,2010,Oklahoma,OK,South,West South Central,18794.199999999993,335766.6799999999,,275266.25999999995,25171.240000000005,,255137.1999999999,492529.02000000014,,,5332398.439999997
plant and fail,2010,Oregon,OR,West,Pacific,35862.15000000001,80314.04999999999,,,28502.97000000001,,690.3,1272.2,12627.0,,837527.1199999999
plant and fail,2010,Pennsylvania,PA,Northeast,Middle Atlantic,33264.15000000001,906163.0500000002,,,56741.74,,1959.9,426113.02999999997,,,103024.33999999998
plant and fail,2010,Rhode Island,RI,Northeast,New England,,1576.02,,,9.0,,,,,,29.14
plant and fail,2010,South Carolina,SC,South,South Atlantic,1232.9,321618.82999999984,,200750.39999999997,15188.920000000002,40.1,8119.27,443008.8599999999,,0.3,122168.28999999998
plant and fail,2010,South Dakota,SD,North Central,West North Central,30539.85,4440887.989999999,,,172445.88000000006,,73370.84999999999,4135814.909999999,112.9,,2659816.88
plant and fail,2010,Tennessee,TN,South,East South Central,1325.01,661073.4200000003,,382700.2000000001,2182.1700000000005,900.1,10917.770000000002,1393267.0200000005,3.5,1.0,195623.11000000004
plant and fail,2010,Texas,TX,South,West South Central,14102.899999999998,2214152.0500000003,16846.1,5463198.91,341266.7800000001,186687.95999999996,1810333.010000001,199551.16999999998,2.0,47174.9,5530389.549999996
plant and fail,2010,Utah,UT,West,Mountain,27772.219999999994,53123.740000000005,,,22862.180000000004,,987.13,187.3,,,138305.19000000003
plant and fail,2010,Virginia,VA,South,South Atlantic,52667.73000000003,392628.89999999997,,82389.20000000001,5991.880000000001,,2680.6099999999997,543705.7599999999,,1.2,153815.39000000004
plant and fail,2010,Vermont,VT,Northeast,New England,561.98,82582.73,,,343.0,,58.2,4254.0,,,491.62
plant and fail,2010,Washington,WA,West,Pacific,75920.88000000003,210981.74,,,8833.0,,133.1,1486.2,791.2,,2255885.560000001
plant and fail,2010,Wisconsin,WI,North Central,East North Central,37661.219999999994,3772351.729999999,,,264525.12,,1513.97,1618678.48,,,248775.85000000003
plant and fail,2010,West Virginia,WV,South,South Atlantic,1919.66,42645.29000000001,,,1362.5300000000002,,351.51,19332.359999999997,,,4834.820000000001
plant and fail,2010,Wyoming,WY,West,Mountain,64405.38,74376.31999999999,,,25309.480000000003,,308.5,293.59999999999997,31683.699999999997,,153281.4099999999
prevent,2010,Alaska,AK,West,Pacific,4156.74,,,,1369.8999999999999,,,,,,103.45
prevent,2010,Alabama,AL,South,East South Central,43.099999999999994,221371.67999999993,,338581.7299999999,15151.100000000002,,4136.010000000001,329878.5900000001,,3.7,73067.29999999999
prevent,2010,Arkansas,AR,South,West South Central,,382830.4999999999,,541661.7499999999,6548.5599999999995,1787342.8800000008,36988.58,3172346.53,,,178803.28000000006
prevent,2010,Arizona,AZ,West,Mountain,41202.08000000001,39682.340000000004,2129.75,191970.58,12820.03,,22202.92,28.7,,,65325.01
prevent,2010,California,CA,West,Pacific,92151.27,491258.5800000001,180402.5,122609.80000000002,193146.19999999992,539432.04,34239.200000000004,57.7,23921.0,563.9499999999999,727670.0099999999
prevent,2010,Colorado,CO,West,Mountain,53555.369999999995,1279852.15,,,39573.90999999999,,132745.44,13761.93,29909.39,,2260257.5500000007
prevent,2010,Connecticut,CT,Northeast,New England,3.4,26596.8,,,45.18,,27.63,24.0,,,40.400000000000006
prevent,2010,Delaware,DE,South,South Atlantic,18534.8,178299.01,,,379.2,,848.0999999999999,163726.93,,,33823.57
prevent,2010,Florida,FL,South,South Atlantic,264.8,48889.94000000001,,91155.83,11529.450000000003,760.4,3506.929999999999,23098.85,,251090.46000000002,8410.4
prevent,2010,Georgia,GA,South,South Atlantic,245.5,291322.47000000003,,1317175.4099999997,31331.21999999999,,34290.37,260135.03,,14.1,131106.63000000003
prevent,2010,Hawaii,HI,West,Pacific,,227.82999999999998,,,,,,,,35925.0,
prevent,2010,Iowa,IA,North Central,West North Central,4170.700000000001,13073863.85999998,,,167187.66999999993,,1062.51,9693944.559999995,,,14713.67000000001
prevent,2010,Idaho,ID,West,Mountain,456739.04,303111.78,,,43664.66000000002,,1074.6,272.20000000000005,181661.30999999997,,1336888.3400000017
prevent,2010,Illinois,IL,North Central,East North Central,585.9,12356436.319999997,,,33378.99999999999,1186.9099999999999,31357.100000000002,8913464.879999999,,,288048.26
prevent,2010,Indiana,IN,North Central,East North Central,650.6699999999998,5755613.779999996,,,5705.02,,10860.010000000004,5314371.8199999975,,,236264.9699999999
prevent,2010,Kansas,KS,North Central,West North Central,8278.890000000001,4745640.569999999,,48885.24,53265.799999999974,,2086026.9099999992,4274519.64,,,8115322.61
prevent,2010,Kentucky,KY,South,East South Central,5090.640000000001,1303455.1699999997,0.05,161.55,1901.6500000000003,150.7,6240.4900000000025,1368154.1300000004,,1.5,280760.2700000001
prevent,2010,Louisiana,LA,South,West South Central,,498192.0600000001,,247484.12,2399.4,534184.34,77642.95,1016870.0800000001,25.0,421442.1499999999,113792.79000000002
prevent,2010,Massachusetts,MA,Northeast,New England,3.9,18703.790000000005,,,329.96,,,397.51,,,19.1
prevent,2010,Maryland,MD,South,South Atlantic,33972.68000000001,451483.27999999985,,1.0,2936.689999999999,,8934.680000000002,455468.9599999999,,,124660.97000000002
prevent,2010,Maine,ME,Northeast,New England,13751.250000000002,27717.710000000003,,,29796.02,,12.6,991.1,,,1535.9
prevent,2010,Michigan,MI,North Central,East North Central,8475.810000000001,2274073.3099999977,,,51900.530000000006,,1052.5200000000002,1980317.1599999997,148028.13000000006,,485331.03999999986
prevent,2010,Minnesota,MN,North Central,West North Central,69535.65999999999,7637580.149999997,,,196304.5099999999,,1023.2,7324426.18,449202.74999999994,,1570488.1500000004
prevent,2010,Missouri,MO,North Central,West North Central,1470.4499999999998,3059872.42,,309750.02999999997,8757.939999999997,252140.36,30365.64,5110871.359999999,,,321591.84999999986
prevent,2010,Mississippi,MS,South,East South Central,,714013.9600000002,,409485.19,1452.7999999999997,302245.44,7999.749999999998,1978951.8599999999,,,103881.45000000001
prevent,2010,Montana,MT,West,Mountain,711099.4800000001,72969.27999999998,,,53067.57000000002,,108.1,2199.7999999999997,43862.479999999996,,5157212.120000007
prevent,2010,North Carolina,NC,South,South Atlantic,16867.569999999996,877976.2099999996,,541169.6799999999,15028.189999999995,,13261.880000000003,1566501.6400000004,0.71,3.0,399159.74
prevent,2010,North Dakota,ND,North Central,West North Central,646745.6699999999,1991994.1799999995,,,243924.31000000008,,2157.6000000000004,4049112.4600000004,216220.50000000003,,8242441.46
prevent,2010,Nebraska,NE,North Central,West North Central,3478.25,9109780.64,,0.4,77856.61,,69628.26999999996,5106003.879999999,50735.670000000006,,1562046.0199999998
prevent,2010,New Hampshire,NH,Northeast,New England,6.220000000000001,13946.840000000004,,,33.07,,37.95,20.5,,,1.5
prevent,2010,New Jersey,NJ,Northeast,Middle Atlantic,2007.8999999999999,75990.61000000002,,,1041.1,,940.0,91752.32,23.9,,20047.899999999998
prevent,2010,New Mexico,NM,West,Mountain,8132.75,134019.47,2608.33,50300.65,12603.770000000002,,68238.80999999998,0.0,,,448271.99000000005
prevent,2010,Nevada,NV,West,Mountain,464.44000000000005,2193.3,,,1613.15,,302.5,,,,11126.819999999998
prevent,2010,New York,NY,Northeast,Middle Atlantic,8380.559999999996,948865.6199999998,,,58068.39999999998,,222.58,269311.6500000001,2.0,,86165.1
